DATA_OBITO,OUTRAS,COVID - RJ,INDETERMINADA,INSUFICIENCIA_RESPIRATORIA,PNEUMONIA,SEPTICEMIA,SRAG
2019-08-10,220,0,1,31,86,69,1
2019-08-11,216,0,1,30,71,60,0
2019-08-12,209,0,0,22,64,79,1
2019-08-13,211,0,0,26,76,65,1
2019-08-14,214,0,0,24,72,73,0
2019-08-15,187,0,1,23,70,71,0
2019-08-16,196,0,2,32,76,60,2
2019-08-17,252,0,0,29,66,77,0
2019-08-18,245,0,0,23,85,75,0
2019-08-19,207,0,1,27,69,60,0
2019-08-20,216,0,0,21,69,66,0
2019-08-21,184,0,0,29,58,74,0
2019-08-22,191,0,0,35,74,64,1
2019-08-23,218,0,0,36,61,64,0
2019-08-24,222,0,0,38,71,59,0
2019-08-25,205,0,1,25,72,90,0
2019-08-26,200,0,1,40,71,60,0
2019-08-27,226,0,0,24,80,75,1
2019-08-28,224,0,0,25,70,67,0
2019-08-29,216,0,0,32,70,60,1
2019-08-30,232,0,0,31,52,79,0
2019-08-31,244,0,0,34,68,71,4
2019-09-01,229,0,1,31,67,98,0
2019-09-02,213,0,0,34,66,68,0
2019-09-03,218,0,0,34,71,62,0
2019-09-04,200,0,0,20,71,51,0
2019-09-05,204,0,1,28,63,63,0
2019-09-06,228,0,0,23,78,69,0
2019-09-07,204,0,1,21,58,57,0
2019-09-08,248,0,0,28,90,75,0
2019-09-09,205,0,0,34,74,73,0
2019-09-10,231,0,0,30,75,51,0
2019-09-11,222,0,0,28,85,64,1
2019-09-12,231,0,2,23,68,65,0
2019-09-13,224,0,1,24,73,77,0
2019-09-14,203,0,0,48,70,83,1
2019-09-15,238,0,3,36,65,61,0
2019-09-16,220,0,1,24,75,67,0
2019-09-17,211,0,1,23,63,76,0
2019-09-18,199,0,0,40,79,69,0
2019-09-19,195,0,0,36,61,70,0
2019-09-20,207,0,1,32,67,65,0
2019-09-21,207,0,1,36,65,68,0
2019-09-22,196,0,0,23,66,63,0
2019-09-23,181,0,0,21,65,63,0
2019-09-24,183,0,1,16,70,70,0
2019-09-25,191,0,0,31,62,67,1
2019-09-26,200,0,1,26,59,47,0
2019-09-27,216,0,0,23,58,59,1
